"SAMPLE_ID";"Formation_name";"form.nr";"GPS.latc";"GPS.longc";"Date.Collected";"Collectors";"Total";"Encrusted";"time.start";"time.end";"Span";"O18.mean";"O18.sd";"O18.min";"O18.max";"ca.mean";"ca.sd";"ca.min";"ca.max";"num.with.colonies";"Antarctothoa_tongima";"Escharoides_excavata";"Arachnopusia_unicornis";"Superspecies"
"1";"Lower Castlecliff Shellbed";5;39.90405;174.9363833;"10.01.2014";"SR, LLH, KV";52;17;-0.58;-0.52;0.0599999999999999;4.10918032786885;0.327201747560366;3.39;4.55;1.28833333333333;0.0608002192978501;1.23;1.39;17;0;0;0;17
"2";"Lower Castlecliff Shellbed";5;39.90393333;174.9363833;"10.01.2014";"SR, LLH, KV";51;13;-0.58;-0.52;0.0599999999999999;4.10918032786885;0.327201747560366;3.39;4.55;1.28833333333333;0.0608002192978501;1.23;1.39;12;0;0;0;12
"3";"Lower Castlecliff Shellbed";5;39.90421667;174.93665;"10.01.2014";"SR, LLH, KV";53;15;-0.58;-0.52;0.0599999999999999;4.10918032786885;0.327201747560366;3.39;4.55;1.28833333333333;0.0608002192978501;1.23;1.39;15;0;0;0;15
"4";"Tainui Shellbed";4;39.91075;174.947;"10.01.2014";"SR, LLH, KV";53;10;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;10;0;0;0;10
"5";"Tainui Shellbed";4;39.94446667;175.1528833;"10.01.2014";"SR, LLH, KV";50;8;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;7;0;0;0;7
"6";"Tainui Shellbed";4;39.91768333;174.9557833;"11.01.2014";"SR, LLH, KV";50;17;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;15;0;0;1;15
"7";"Tainui Shellbed";4;39.91768333;174.9557833;"11.01.2014";"SR, LLH, KV";50;10;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;7;0;0;0;7
"8";"Tainui Shellbed";4;39.91768333;174.9557833;"11.01.2014";"SR, LLH, KV";50;14;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;15;0;0;0;15
"9";"Tainui Shellbed";4;39.91768333;174.9557833;"11.01.2014";"SR, LLH, KV";50;14;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;12;0;0;0;12
"10";"Upper Castlecliff Shellbed";2;39.91776667;174.9563833;"11.01.2014";"SR, LLH, KV";50;21;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;17;1;0;0;17
"11";"Upper Castlecliff Shellbed";2;39.91776667;174.9563833;"11.01.2014";"SR, LLH, KV";50;10;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;10;0;0;0;10
"12";"Upper Castlecliff Shellbed";2;39.91776667;174.9563833;"11.01.2014";"SR, LLH, KV";50;10;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;10;0;0;0;10
"13";"Upper Castlecliff Shellbed";2;39.91776667;174.9563833;"11.01.2014";"SR, LLH, KV";50;10;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;7;0;1;0;6
"14";"Upper Castlecliff Shellbed";2;39.91776667;174.9563833;"11.01.2014";"SR, LLH, KV";50;7;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;7;0;1;0;7
"15";"Upper Castlecliff Shellbed";2;39.91776667;174.9563833;"11.01.2014";"SR, LLH, KV";50;7;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;7;1;0;0;7
"16";"Upper Castlecliff Shellbed";2;39.91806667;174.9567833;"11.01.2014";"SR, LLH, KV";50;10;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;8;0;0;0;8
"17";"Upper Castlecliff Shellbed";2;39.91806667;174.9567833;"11.01.2014";"SR, LLH, KV";50;10;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;10;0;0;0;10
"18";"Upper Castlecliff Shellbed";2;39.91806667;174.9567833;"11.01.2014";"SR, LLH, KV";50;17;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;16;0;0;0;16
"19";"Upper Castlecliff Shellbed";2;39.92205;174.95955;"11.01.2014";"SR, LLH, KV";50;21;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;20;0;2;0;19
"20";"Upper Castlecliff Shellbed";2;39.92148333;174.9610667;"12.01.2014";"SR, LLH, KV";50;8;-0.4;-0.38;0.02;3.88333333333333;0.247433492747715;3.32;4.19;1.26833333333333;0.0966264284068632;1.11;1.38;8;0;0;0;8
"21";"Shakespeare Cliff Basal Sand Shellbed";3;39.9184;174.9570333;"12.01.2014";"SR, LLH, KV";50;28;-0.43;-0.4;0.03;3.66903225806452;0.555495903607516;3.11;4.98;1.49857142857143;0.152471699169449;1.27;1.68;24;5;2;0;22
"22";"Shakespeare Cliff Basal Sand Shellbed";3;39.9184;174.9570333;"12.01.2014";"SR, LLH, KV";50;25;-0.43;-0.4;0.03;3.66903225806452;0.555495903607516;3.11;4.98;1.49857142857143;0.152471699169449;1.27;1.68;25;2;0;0;24
"23";"Shakespeare Cliff Basal Sand Shellbed";3;39.91821667;174.9567333;"12.01.2014";"SR, LLH, KV";50;21;-0.43;-0.4;0.03;3.66903225806452;0.555495903607516;3.11;4.98;1.49857142857143;0.152471699169449;1.27;1.68;17;4;0;0;16
"24";"Tainui Shellbed";4;39.91796667;174.9562833;"12.01.2014";"SR, LLH, KV";50;9;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;7;1;0;0;7
"25";"Tainui Shellbed";4;39.91796667;174.9562833;"12.01.2014";"SR, LLH, KV";50;3;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;3;0;0;0;3
"26";"Tainui Shellbed";4;39.91796667;174.9562833;"12.01.2014";"SR, LLH, KV";50;3;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;1;0;0;0;1
"27";"Shakespeare Cliff Basal Sand Shellbed";3;39.91786667;174.9564333;"12.01.2014";"SR, LLH, KV";50;35;-0.43;-0.4;0.03;3.66903225806452;0.555495903607516;3.11;4.98;1.49857142857143;0.152471699169449;1.27;1.68;34;0;0;0;34
"28";"Tainui Shellbed";4;39.91525;174.95215;"12.01.2014";"SR, LLH, KV";50;12;-0.51;-0.43;0.08;4.33506172839506;0.457395134038367;3.47;5.08;1.20222222222222;0.075813669072936;1.03;1.34;8;0;0;0;8
"29";"Shakespeare Cliff Basal Sand Shellbed";3;39.91515;174.95295;"12.01.2014";"SR, LLH, KV";50;16;-0.43;-0.4;0.03;3.66903225806452;0.555495903607516;3.11;4.98;1.49857142857143;0.152471699169449;1.27;1.68;10;4;1;0;8
"30";"Lower Castlecliff Shellbed";5;39.90451667;174.9370833;"12.01.2014";"SR, LLH, KV";50;34;-0.58;-0.52;0.0599999999999999;4.10918032786885;0.327201747560366;3.39;4.55;1.28833333333333;0.0608002192978501;1.23;1.39;34;0;0;2;34
"31";"Lower Castlecliff Shellbed";5;39.90451667;174.9370833;"12.01.2014";"SR, LLH, KV";50;16;-0.58;-0.52;0.0599999999999999;4.10918032786885;0.327201747560366;3.39;4.55;1.28833333333333;0.0608002192978501;1.23;1.39;15;0;0;0;15
"32";"Lower Castlecliff Shellbed";5;39.90451667;174.9370833;"12.01.2014";"SR, LLH, KV";50;16;-0.58;-0.52;0.0599999999999999;4.10918032786885;0.327201747560366;3.39;4.55;1.28833333333333;0.0608002192978501;1.23;1.39;15;0;0;0;15
"33";"Nukumaru Limestone";9;39.86576667;174.76005;"13.01.2014";"SR, LLH, KV";30;27;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;23;8;4;3;22
"34";"Nukumaru Limestone";9;39.86576667;174.76005;"13.01.2014";"SR, LLH, KV";30;27;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;28;13;11;13;27
"35";"Nukumaru Limestone";9;39.86591667;174.7604167;"13.01.2014";"SR, LLH, KV";30;20;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;20;9;5;1;19
"36";"Nukumaru Limestone";9;39.86591667;174.7604167;"13.01.2014";"SR, LLH, KV";30;26;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;27;4;9;10;26
"37";"Nukumaru Limestone";9;39.8661;174.7612;"13.01.2014";"SR, LLH, KV";30;23;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;22;5;7;2;19
"38";"Nukumaru Limestone";9;39.8661;174.7612;"13.01.2014";"SR, LLH, KV";30;26;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;25;10;7;3;22
"39";"Nukumaru Limestone";9;39.86608333;174.7617333;"13.01.2014";"SR, LLH, KV";30;25;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;25;11;9;5;24
"40";"Nukumaru Limestone";9;39.86608333;174.7617333;"13.01.2014";"SR, LLH, KV";30;26;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;26;12;9;3;25
"41";"Nukumaru Limestone";9;39.8658;174.7633333;"13.01.2014";"SR, LLH, KV";30;22;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;21;3;8;5;20
"42";"Nukumaru Limestone";9;39.8658;174.7633333;"13.01.2014";"SR, LLH, KV";30;24;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;24;11;13;6;24
"43";"Nukumaru Limestone";9;39.86605;174.7615833;"13.01.2014";"SR, LLH, KV";30;23;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;23;7;8;8;19
"44";"Nukumaru Limestone";9;39.86605;174.7615833;"13.01.2014";"SR, LLH, KV";30;25;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;25;12;6;6;24
"45";"Nukumaru Limestone";9;39.86605;174.7610667;"13.01.2014";"SR, LLH, KV";30;17;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;17;5;3;4;17
"46";"Nukumaru Limestone";9;39.86605;174.7610667;"13.01.2014";"SR, LLH, KV";30;20;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;18;3;5;5;17
"47";"Nukumaru Limestone";9;39.86603333;174.7608167;"13.01.2014";"SR, LLH, KV";30;21;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;22;0;9;4;19
"48";"Nukumaru Limestone";9;39.86603333;174.7608167;"13.01.2014";"SR, LLH, KV";30;23;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;22;6;7;5;22
"49";"Nukumaru Limestone";9;39.86583333;174.7601833;"13.01.2014";"SR, LLH, KV";30;15;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;14;2;5;4;14
"50";"Nukumaru Limestone";9;39.86583333;174.7601833;"13.01.2014";"SR, LLH, KV";30;21;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;21;9;5;3;20
"51";"Nukumaru Limestone";9;39.8659;174.76025;"13.01.2014";"SR, LLH, KV";30;26;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;26;13;7;9;24
"52";"Nukumaru Limestone";9;39.86576667;174.76005;"13.01.2014";"SR, LLH, KV";30;21;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;21;9;10;5;19
"53";"Nukumaru Limestone";9;39.82831667;174.8819333;"14.01.2014";"SR, LLH, KV";30;27;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;23;13;0;2;18
"54";"Nukumaru Limestone";9;39.82831667;174.8819333;"14.01.2014";"SR, LLH, KV";30;27;-2.29;-2.08;0.21;3.63658823529412;0.236575533801104;3.21;4.23;1.50305555555556;0.140647877327834;1.26;1.81;15;1;1;1;15
"55";"Nukumaru Brown Sand";8;39.8576;174.7866167;"14.01.2014";"SR, LLH, KV";50;33;-2.03;-1.97;0.0599999999999998;3.5796;0.186781512289984;3.24;3.92;1.53631578947368;0.163578405472245;1.22;1.8;31;1;3;2;31
"56";"Nukumaru Brown Sand";8;39.85786667;174.7853333;"14.01.2014";"SR, LLH, KV";50;33;-2.03;-1.97;0.0599999999999998;3.5796;0.186781512289984;3.24;3.92;1.53631578947368;0.163578405472245;1.22;1.8;31;0;12;0;30
"57";"Nukumaru Brown Sand";8;39.85786667;174.7853333;"14.01.2014";"SR, LLH, KV";50;22;-2.03;-1.97;0.0599999999999998;3.5796;0.186781512289984;3.24;3.92;1.53631578947368;0.163578405472245;1.22;1.8;20;1;3;0;20
"58";"Lower Kai-iwi Shellbed";7;39.88128333;174.8886833;"14.01.2014";"SR, LLH, KV";50;29;-0.97;-0.93;0.0399999999999999;3.86857142857143;0.370881190063418;3.3;4.58;1.35333333333333;0.125499003980111;1.16;1.52;28;9;0;0;25
"59";"Lower Kai-iwi Shellbed";7;39.88128333;174.8886833;"14.01.2014";"SR, LLH, KV";50;27;-0.97;-0.93;0.0399999999999999;3.86857142857143;0.370881190063418;3.3;4.58;1.35333333333333;0.125499003980111;1.16;1.52;25;2;0;0;23
